Country;Population
Albania;2706453.607
Andorra;82926.99444
Belgium;11406020.62
Bosnia and Herzegovina;3389270.046
Bulgaria;6925638.585
Denmark;5798484.253
Germany;84860419.95
Estonia;1313782.288
Finland;5529284.559
France;66106166.03
Greece;10311964.37
Ireland;4901886.579
Iceland;344145.5595
Israel;9280977.646
Italy;60243971.79
Croatia;4250100.443
Latvia;1911065.952
Lithuania;2792141.784
Luxembourg;617856.4898
Malta;439682.3664
North Macedonia;2180855.32
Moldova;3646032.519
Monaco;37620.43308
Montenegro;622005.6644
Netherlands;17129931.04
Norway;5343854.544
Austria;8895335.753
Poland;38401237.2
Portugal;10664244.74
Romania;19247056.5
Russia;145721752.1
San Marino;32597.99144
Sweden;10217190.9
Switzerland;8771281.328
Serbia;9001979.818
Slovakia;5435130.167
Slovenia;2072389.928
Spain;45981737.54
Czech Republic;10635590.46
Ukraine;43836628.49
Hungary;9682894.646
United Kingdom;67195446.75
Belarus;9434505.232
Cyprus;1318721.623
European Region;933434052.6
